,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,CPU_time
0,0.00019496939926768618,0.09347721653373621,1.6912043495362826e-05,0.052927220454683725,0.07885982396638708,0.017504662639919337,0.022794654380366545,0.03622006478433053,0.0381,2605.763450859889,530,1033.81835851
1,0.00019496459926246251,0.09347198611298746,1.691030359362343e-05,0.05292814826413103,0.07887719835288536,0.017495868219492998,0.0227998025217415,0.03622819269609291,0.0381,2605.7634616907044,635,1272.626360234
2,0.000194971184086135,0.09347583006524576,1.6908503777471787e-05,0.052928975483544805,0.07887538135928425,0.01749853971922236,0.02279869057628418,0.03622664456113711,0.0381,2605.7634350670646,560,865.8030506640002
3,0.000194950156783452,0.09347726181289945,1.6911903381570238e-05,0.052927334015221685,0.07885371795632015,0.0175041845487587,0.022792592944718342,0.036220368592567366,0.0381,2605.76345685894,557,1031.7796735260004
4,0.0001949422498083954,0.09347865972678347,1.6912272052119144e-05,0.05292683465672513,0.0788518148088245,0.01750304482781599,0.022792806806822025,0.03622129896120157,0.0381,2605.763462390002,540,1036.9295420129993
5,0.0001949581943286786,0.09347457479987066,1.691474251875829e-05,0.05292589452502358,0.07884622483585559,0.017504789896307667,0.022791313331480333,0.03622057730625028,0.0381,2605.763465742875,524,966.0447135779996
6,0.00019497706216305366,0.09347541968213745,1.6909962675828044e-05,0.05292855322066967,0.07887369118966796,0.017494521029343055,0.02279806155971468,0.036229145028424586,0.0381,2605.763440988137,529,778.3645627679998
7,0.0001949822142145096,0.09347252654071402,1.690938064342493e-05,0.05292875341275098,0.07887958739095606,0.017497931663198896,0.02280001472921739,0.03622662932770851,0.0381,2605.763453112539,588,693.0885096699994
8,0.00019495019678576015,0.09347851217144741,1.6913031857878937e-05,0.05292666990749334,0.07885359564869161,0.0175078845612703,0.022792661675218755,0.036217654990394844,0.0381,2605.7634389844065,799,1283.5528108550006
9,0.0001949792394502651,0.0934723002308009,1.6907005639632837e-05,0.05292995866702129,0.07887627194577972,0.017498826666084044,0.022799050400403684,0.036225306064753465,0.0381,2605.763408987518,854,1735.1869984569985
10,0.00019500276032625993,0.09346876343779185,1.6911574279927663e-05,0.05292800801272958,0.07887897300401765,0.017495152152758077,0.022800494398409574,0.03622926097551984,0.0381,2605.7634616417167,514,1006.3659113570011
11,0.00019497630174346206,0.09347446725242098,1.6910364209727334e-05,0.0529282032970355,0.07886187841783487,0.01749838861115712,0.022795442536125754,0.0362263757146805,0.0381,2605.7634429894383,504,710.125083461
12,0.0001949551591159424,0.09347637261584243,1.6913750260082453e-05,0.05292631496607887,0.0788552762321321,0.01750348414856934,0.02279423626107668,0.03622010585997759,0.0381,2605.763463928738,527,974.8180867429983
13,0.0001949725592674797,0.09347118814407857,1.6912529139101276e-05,0.052927289779458306,0.07885069446626154,0.017504224989126613,0.022791696521079808,0.036221177511175075,0.0381,2605.763474523057,698,965.7485135030001
14,0.00019493824154489636,0.09348308075442674,1.6910511600626347e-05,0.052927632023674634,0.07884862322467437,0.017500755220147723,0.022791237133251815,0.03622455075621338,0.0381,2605.7634637947517,474,616.071437912
15,0.0001949957861583328,0.09346752916869315,1.6913442987211558e-05,0.05292631527435367,0.0788572848539812,0.017503323519931197,0.02279419565240479,0.036220031619064834,0.0381,2605.7634592308286,469,828.5834626809992
16,0.00019497416339879934,0.09347326219454641,1.6911956298987797e-05,0.05292749304260346,0.07884532701710657,0.017501462970005984,0.022790563222804157,0.03622259693994611,0.0381,2605.7634347212997,1080,2183.2817143419998
17,0.00019497095393036662,0.09347171422613929,1.6911210870869334e-05,0.052927842264498134,0.07884991490839877,0.01750406436144451,0.022792053497779893,0.03622000881378697,0.0381,2605.763452385594,559,1124.6204006949993
18,0.0001949771401735365,0.09347052209907133,1.6913126263037178e-05,0.05292656731580562,0.07885192633876148,0.017503897951670868,0.0227928533628539,0.03622065855250802,0.0381,2605.76346191144,1028,1528.350749240999
19,0.00019497120032383562,0.09347666046693621,1.6911498428572115e-05,0.05292786458363734,0.07884780162335434,0.017503640863751654,0.02279200073636013,0.03622041506541503,0.0381,2605.7634440195975,668,902.1658242320009
20,0.00019496317067767152,0.09347250958495519,1.6911065408034188e-05,0.052927855955418844,0.07885375857389576,0.017504719377733263,0.022793127781407286,0.036220329667728764,0.0381,2605.763465561966,594,1023.4636278170001
21,0.0001949730184150829,0.09347366768719942,1.6910496877103338e-05,0.05292839982640007,0.07887932975842825,0.01749853509688041,0.022800506243739898,0.03622657712706676,0.0381,2605.7634495124153,736,1446.9760484690014
22,0.0001949418742126149,0.09348196980260168,1.691093263887333e-05,0.05292760857705387,0.07883231374422073,0.01750026712404159,0.02278697328135976,0.036223427953586664,0.0381,2605.763446243002,488,963.8711081470028
23,0.00019497784203410115,0.09347237753654017,1.6909616882039242e-05,0.05292872694813916,0.0788855674450716,0.01749667477956803,0.02280203190759107,0.036226277955500465,0.0381,2605.763452259297,544,1075.510959315001
24,0.00019498297540732328,0.09347857839865055,1.6911763982086142e-05,0.05292718647845568,0.07885290666223795,0.017505487921184327,0.022792372819243813,0.03621987716026615,0.0381,2605.763447877124,545,980.4738035609989
