,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,CPU_time,score,well,protocol,sweep
0,0.0016890201133037263,0.036649227962675925,4.2846135469082454e-05,0.0459550046902135,0.09319706360681382,0.021806317622508783,0.007352942578413066,0.02960736040072704,0.1638953011576943,1708.2252960406581,1442,4203.721392684999,1708.2252960406581,8,spacefill19,-1
1,0.0016915319846761792,0.03668207022022,4.29779188165597e-05,0.04592611028070686,0.09314882404371701,0.021812987896654618,0.007352818304765535,0.029600185163450102,0.16386244573757194,1714.33653587778,1355,3861.4280010360003,1714.33653587778,7,spacefill19,-1
2,0.0016920476031100386,0.03663067667228048,4.2959734710633817e-05,0.04592941837194238,0.09315474816594764,0.021819688555365535,0.0073507566399258805,0.029605653654797268,0.16385810700290962,1709.8121155596805,1468,4304.451908392,1709.8121155596805,6,spacefill19,-1
3,0.0016900897395697857,0.03663136358644463,4.3031015680027143e-05,0.04591590703128422,0.09315685319844934,0.021814755271141156,0.00735109293368533,0.02960077652983527,0.1639120800523471,1708.9874755294609,1421,4225.536428282,1708.9874755294609,9,spacefill19,-1
4,0.0016908196051278505,0.036641461641044544,4.291950658348242e-05,0.045940229679696125,0.0931652357413409,0.021811400075163648,0.007352463914968941,0.029599051555278495,0.16389865335827639,1709.9748862589286,996,2861.390913097999,1709.9748862589286,1,spacefill19,-1
5,0.0016886169840335413,0.0366665711770293,4.288901805833907e-05,0.04593987247347933,0.09317599508805677,0.021808402668092298,0.007353841483726188,0.029607220339864744,0.16385785218393425,1711.7413149705287,951,2889.0133829180013,1711.7413149705287,4,spacefill19,-1
6,0.0016898549113370412,0.03664163994549253,4.2944313139362125e-05,0.04593236072918601,0.09318687192871446,0.021811511829624517,0.007351153926963872,0.029618524758251087,0.16386492009574793,1711.9140762881295,1852,5742.307693634999,1711.9140762881295,0,spacefill19,-1
7,0.0016913427668283293,0.03664967627293017,4.299122446578259e-05,0.0459231572371966,0.09318288031875037,0.021807139340028526,0.007356881263211194,0.02960110399031951,0.16386071901346916,1714.7121686522094,1000,3102.229287887,1714.7121686522094,2,spacefill19,-1
8,0.0016885481203369127,0.036677435663436384,4.285872495387821e-05,0.04595623996282235,0.0932019004405218,0.021801662643622783,0.007355225056989162,0.029599203505413695,0.16391022578710496,1710.1924969879035,1462,4357.984404460001,1710.1924969879035,3,spacefill19,-1
9,0.0016883036199523327,0.03665357632803042,4.29096770907501e-05,0.04594199653185431,0.09317651975889962,0.021813803626043446,0.007353567046640142,0.029592223194367828,0.16391862246293532,1710.0087747465857,1225,3905.681195617999,1710.0087747465857,5,spacefill19,-1
10,0.001684416450632212,0.0844610771494306,2.21147885463478e-05,0.051194738377274326,0.12153586430810392,0.02687533635061234,0.008878292595504777,0.028797390103924805,0.1546495866689807,652.3531950406658,1983,3933.6356367890003,652.3531950406658,8,staircaseramp1,-1
11,0.0016846481215125003,0.08444353183682228,2.2114832386770746e-05,0.05119840142451779,0.12142177011037734,0.026899170175617708,0.008870233715862683,0.02877756264248395,0.15465796871480422,653.2881333145209,2275,4330.4812408239995,653.2881333145209,7,staircaseramp1,-1
12,0.0016834272480615552,0.0843969942810161,2.2080704110425996e-05,0.051213331298432765,0.12134464502857138,0.026860654833416306,0.008863997440197075,0.028804811359793136,0.15468623504165838,653.2885659838255,1437,2800.3159506029997,653.2885659838255,6,staircaseramp1,-1
13,0.00168515441588997,0.08446006408190339,2.207310459095169e-05,0.0512121149822305,0.12132453862344279,0.026881775228354592,0.008869050118402213,0.028788664094891912,0.15459597242940426,654.5817476782329,2794,5210.724901350999,654.5817476782329,9,staircaseramp1,-1
14,0.001686314646542168,0.08444651806966738,2.2064620916566465e-05,0.05122068464425634,0.12137355275490769,0.026863162534868628,0.008867227471244634,0.028800847343414215,0.15465511685262387,655.65132020588,1101,2262.0560694940004,655.65132020588,1,staircaseramp1,-1
