,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,CPU_time,score
0,8.35413702604828e-07,0.003151921533119696,1.000163616204103e-07,0.12449230216211264,1.272973243163293e-07,0.005342767855264702,1.001656744473507e-07,0.0004632930164519048,3.9708950712981004,86839.49151788467,1327,2233.8132323790014,86839.49151788467
1,4.2231521669000196e-05,3.063854364991904e-06,9.666853710543933e-07,0.041693402065254,0.0003944551789054081,3.297117243367854e-05,1.2108848367031156e-05,5.263863080799026e-06,0.1524,,1327,,
