,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,CPU_time
0,0.00022620500744645832,0.06988202253195085,3.445221672030171e-05,0.05460786027083525,0.08733490435909451,0.008913627200392233,0.005153375909175663,0.03157640103193847,0.1524,174.03928011696618,974,2728.948458556
1,0.0002262006936032671,0.06988232507082094,3.445164202451857e-05,0.0546080259797162,0.08733490799012386,0.008913607899369706,0.005153366328269131,0.03157645314546156,0.1524,174.03928031448254,476,1450.848412497
2,0.00022620367607722588,0.06988201412553988,3.4452330425620094e-05,0.05460781644317968,0.08733488411783566,0.008913631639241035,0.005153385473662197,0.03157639230488843,0.1524,174.03928026873635,733,2253.1874704539996
3,0.00022619988336519586,0.06988245390805085,3.445222327736407e-05,0.05460785772992341,0.08733475372559724,0.008913643925081809,0.005153359466098635,0.031576396965118665,0.1524,174.039280443842,567,1734.1743767740008
4,0.00022619586645203685,0.06988272250337367,3.44516406631197e-05,0.054608014456096685,0.08733505048592019,0.008913621339815403,0.00515338339859618,0.03157641067831454,0.1524,174.0392805425738,788,1736.4925363620005
5,0.0002262049402348779,0.06988204513886884,3.445202270654331e-05,0.05460792884239528,0.08733522892648034,0.008913539176089169,0.0051533829001282625,0.03157648611088437,0.1524,174.03928054211545,472,983.6026494489997
6,0.00022620395369718724,0.06988203609425982,3.445219861007103e-05,0.05460787147598187,0.08733481816773285,0.008913626786095669,0.005153366354787343,0.03157641551223037,0.1524,174.03928046531536,646,2001.791698166
7,0.00022620444261022444,0.06988194729736065,3.445247815475341e-05,0.05460778162184558,0.08733515621741753,0.008913611265470557,0.005153390201798048,0.03157646602441321,0.1524,174.0392804380331,872,2612.3420677039994
8,0.00022619949446179847,0.06988236038171917,3.44516092140248e-05,0.05460801277298686,0.08733519396414134,0.00891355319716893,0.005153397268897002,0.031576477477342525,0.1524,174.03928063015996,449,1363.6825382370007
9,0.00022620534366745072,0.06988195948948503,3.445200389016818e-05,0.05460790022537782,0.08733518990999543,0.008913569750622163,0.005153394771161551,0.03157643984749841,0.1524,174.03928062725066,485,1465.2825379570022
10,0.00022620499509479227,0.06988201697386771,3.4451709921629125e-05,0.054607999021979894,0.08733492397151356,0.008913578940357079,0.0051533737127929975,0.031576411365290484,0.1524,174.03928052189977,621,1842.6706205240007
11,0.0002262049986915103,0.06988192567536246,3.4451798002494914e-05,0.05460796264241432,0.08733537357715657,0.008913499400796249,0.005153405335043685,0.03157644496728818,0.1524,174.03928057355168,461,897.381110536
12,0.00022620717957643006,0.06988183953472404,3.4452213697588706e-05,0.054607873998006415,0.08733501513446677,0.008913640761625315,0.005153380556507455,0.03157641976092888,0.1524,174.03928023764826,752,1611.7645022319994
13,0.00022620391858118403,0.0698821078363757,3.445217081052727e-05,0.05460786763995836,0.08733477827404156,0.008913648881355889,0.005153358318142433,0.0315764210024157,0.1524,174.03928048370167,459,1130.7530711340005
14,0.0002262053996017046,0.06988200381540026,3.445220743217924e-05,0.054607888555584,0.08733507063439097,0.008913628026428764,0.0051533860907288865,0.031576397388479546,0.1524,174.03928048330224,562,1734.9923967060022
15,0.00022620327581362825,0.06988213046784468,3.445225203103423e-05,0.05460785009326874,0.08733487849259519,0.008913631189009704,0.005153367551919955,0.03157644582931147,0.1524,174.0392802004419,691,1953.919490870001
16,0.00022620492809270754,0.06988202083825532,3.445219104960336e-05,0.054607888988663277,0.08733479673922541,0.00891362798929573,0.005153361251877607,0.03157647424507614,0.1524,174.0392804334357,881,2597.9870297319976
17,0.00022620519916703401,0.06988200196182395,3.445220180155305e-05,0.05460785555777754,0.08733531430872465,0.008913580364881853,0.005153390903772415,0.031576503488229914,0.1524,174.0392805671257,444,910.2436304369985
18,0.00022620599942366172,0.06988201629326551,3.4452746800423525e-05,0.05460772386031524,0.08733481921452448,0.008913656800406568,0.005153363175730834,0.0315764194761451,0.1524,174.03928061099705,584,1305.0886979079987
19,0.00022620589248226547,0.06988192608919612,3.445217711573082e-05,0.054607863926709965,0.08733490567070634,0.008913611453581681,0.005153378740044764,0.0315763764625218,0.1524,174.0392802625687,1051,3171.7553092140006
